bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
7,7501030.0,12,6,4,3,2,6,2,0,1,0,1,0,0,1,13.38560059,52.44702202,2,0.0,04 to 08
1,1401049.0,8,13,3,3,3,6,0,1,1,0,0,0,0,0,13.36644065,52.55302354,2,0.5,12 to 16
3,3701660.0,6,12,4,3,1,5,0,1,1,0,0,0,0,0,13.42817699,52.53219701,2,0.5,12 to 16
6,6400838.0,4,10,6,3,2,6,0,0,1,0,1,0,0,0,13.22517713,52.42974441,2,0.0,08 to 12
4,4300414.0,11,6,2,3,5,2,0,0,1,0,0,0,0,0,13.28924145,52.51039198,1,0.0,04 to 08
4,4100101.0,9,14,1,3,2,6,0,0,1,0,0,0,0,0,13.28805012,52.53256497,1,0.0,12 to 16
3,3601139.0,8,15,7,2,5,2,0,1,1,0,0,0,0,0,13.41479592,52.55501441,2,0.5,12 to 16
7,7300619.0,4,15,5,2,5,7,0,0,1,0,0,0,0,0,13.35392759,52.47896396,1,0.0,12 to 16
6,6400736.0,10,16,4,3,9,1,1,0,1,0,0,0,0,1,13.19810794,52.42020694,1,0.0,16 to 20
3,3200205.0,8,9,3,3,0,7,0,1,0,0,0,0,0,1,13.4027963,52.59319086,1,1.0,08 to 12
3,3400620.0,7,7,2,3,5,2,0,0,1,0,0,0,1,0,13.39867415,52.57245093,2,0.0,04 to 08
7,7400825.0,6,8,4,3,2,6,0,0,1,0,0,0,0,0,13.38407497,52.45799223,1,0.0,08 to 12
4,4300413.0,11,8,3,3,2,6,0,0,1,0,1,0,0,0,13.2850998,52.51615065,2,0.0,08 to 12
7,7601442.0,4,15,5,3,5,7,0,1,1,0,0,0,0,0,13.40010893,52.41611495,2,0.5,12 to 16
2,2400522.0,9,16,4,3,5,3,0,1,0,0,1,0,0,0,13.4503043,52.51610528,2,0.5,16 to 20
1,1100104.0,11,17,1,3,4,6,2,0,1,0,0,0,0,0,13.36600606,52.50344432,1,0.0,16 to 20
7,7400928.0,6,19,6,3,2,6,2,0,1,0,0,0,0,0,13.42020885,52.46135439,1,0.0,16 to 20
1,1100310.0,4,17,5,3,5,2,0,1,1,0,0,0,0,0,13.40893058,52.51698823,2,0.5,16 to 20
2,2200208.0,9,18,3,3,4,6,0,1,0,0,0,0,1,0,13.38916994,52.49474915,2,0.5,16 to 20
4,4200207.0,7,15,5,3,2,6,0,0,1,0,0,0,0,0,13.26895749,52.49567649,1,0.0,12 to 16
3,3400620.0,4,17,5,3,5,7,0,0,1,0,0,0,1,0,13.39936222,52.5740439,2,0.0,16 to 20
